null,Incentive_1,Incentive_2,Incentive_3,Incentive_4,Incentive_5,outcome
1,1,0,0,0,1,0
1,0,1,0,0,1,0
1,1,1,0,0,1,1
1,0,0,1,0,1,1
1,1,0,1,0,1,1
1,0,1,1,0,1,0
1,1,1,1,0,1,0
1,0,0,0,1,1,1
1,1,0,0,1,1,1
1,0,1,0,1,1,1
1,1,1,0,1,1,1
1,0,0,1,1,1,1
1,1,0,1,1,1,1
1,0,1,1,1,1,1
1,1,1,1,1,1,1
1,0,0,0,0,0,0
1,1,0,0,0,0,0
1,0,1,0,0,0,0
1,1,1,0,0,0,0
1,0,0,1,0,0,0
1,1,0,1,0,0,0
1,0,1,1,0,0,0
1,1,1,1,0,0,0
1,0,0,0,1,0,0
1,1,0,0,1,0,0
1,0,1,0,1,0,1
1,1,1,0,1,0,0
1,0,0,1,1,0,0
1,1,0,1,1,0,0
1,0,1,1,1,0,1
1,1,1,1,1,0,0
1,0,0,0,0,1,0
1,1,0,0,0,1,0
1,0,1,0,0,1,0
1,1,1,0,0,1,1
1,0,0,1,0,1,1
1,1,0,1,0,1,0
1,0,1,1,0,1,0
1,1,1,1,0,1,0
1,0,0,0,1,1,1
1,1,0,0,1,1,0
1,0,1,0,1,1,0
1,1,1,0,1,1,1
1,0,0,1,1,1,1
1,1,0,1,1,1,1
1,0,1,1,1,1,1
1,1,1,1,1,1,1
1,0,0,0,0,0,0
1,1,0,0,0,0,0
1,0,1,0,0,0,0
1,1,1,0,0,0,0
1,0,0,1,0,0,0
1,1,0,1,0,0,0
1,0,1,1,0,0,0
1,1,1,1,0,0,1
1,0,0,0,1,0,0
1,1,0,0,1,0,1
1,0,1,0,1,0,1
1,1,1,0,1,0,1
1,0,0,1,1,0,0
1,1,0,1,1,0,1
1,0,1,1,1,0,1
1,1,1,1,1,0,0
1,0,0,0,0,1,0
1,1,0,0,0,1,0
1,0,1,0,0,1,0
1,1,1,0,0,1,1
1,0,0,1,0,1,0
1,1,0,1,0,1,1
1,0,1,1,0,1,1
1,1,1,1,0,1,0
1,0,0,0,1,1,0
1,1,0,0,1,1,0
1,0,1,0,1,1,1
1,1,1,0,1,1,1
1,0,0,1,1,1,1
1,1,0,1,1,1,1
1,0,1,1,1,1,1
1,1,1,1,1,1,1
1,0,0,0,0,0,0
1,1,0,0,0,0,0
1,0,1,0,0,0,0
1,1,1,0,0,0,0
1,0,0,1,0,0,1
1,1,0,1,0,0,0
1,0,1,1,0,0,1
1,1,1,1,0,0,0
1,0,0,0,1,0,0
1,1,0,0,1,0,0
1,0,1,0,1,0,1
1,1,1,0,1,0,0
1,0,0,1,1,0,0
1,1,0,1,1,0,1
1,0,1,1,1,0,1
1,1,1,1,1,0,0
1,0,0,0,0,1,1
1,1,0,0,0,1,1
1,0,1,0,0,1,0
1,1,1,0,0,1,0
1,0,0,1,0,1,0
1,1,0,1,0,1,1
1,0,1,1,0,1,0
1,1,1,1,0,1,0
1,0,0,0,1,1,1
1,1,0,0,1,1,0
1,0,1,0,1,1,0
1,1,1,0,1,1,1
1,0,0,1,1,1,0
1,1,0,1,1,1,1
1,0,1,1,1,1,1
1,1,1,1,1,1,0
1,0,0,0,0,0,0
1,1,0,0,0,0,0
1,0,1,0,0,0,0
1,1,1,0,0,0,0
1,0,0,1,0,0,1
1,1,0,1,0,0,0
1,0,1,1,0,0,1
1,1,1,1,0,0,0
1,0,0,0,1,0,0
1,1,0,0,1,0,0
1,0,1,0,1,0,0
1,1,1,0,1,0,0
1,0,0,1,1,0,0
1,1,0,1,1,0,0
1,0,1,1,1,0,1
1,1,1,1,1,0,0
1,0,0,0,0,1,0
1,1,0,0,0,1,0
1,0,1,0,0,1,0
1,1,1,0,0,1,1
1,0,0,1,0,1,0
1,1,0,1,0,1,1
1,0,1,1,0,1,0
1,1,1,1,0,1,0
1,0,0,0,1,1,0
1,1,0,0,1,1,1
1,0,1,0,1,1,0
1,1,1,0,1,1,0
1,0,0,1,1,1,0
1,1,0,1,1,1,1
1,0,1,1,1,1,1
1,1,1,1,1,1,1
1,0,0,0,0,0,0
1,1,0,0,0,0,0
1,0,1,0,0,0,0
1,1,1,0,0,0,0
1,0,0,1,0,0,0
1,1,0,1,0,0,0
1,0,1,1,0,0,0
1,1,1,1,0,0,1
1,0,0,0,1,0,1
1,1,0,0,1,0,0
1,0,1,0,1,0,0
1,1,1,0,1,0,1
1,0,0,1,1,0,0
1,1,0,1,1,0,1
1,0,1,1,1,0,1
1,1,1,1,1,0,0
1,0,0,0,0,1,0
1,1,0,0,0,1,0
1,0,1,0,0,1,0
1,1,1,0,0,1,0
1,0,0,1,0,1,0
1,1,0,1,0,1,0
1,0,1,1,0,1,0
1,1,1,1,0,1,0
1,0,0,0,1,1,1
1,1,0,0,1,1,1
1,0,1,0,1,1,0
1,1,1,0,1,1,1
1,0,0,1,1,1,0
1,1,0,1,1,1,0
1,0,1,1,1,1,0
1,1,1,1,1,1,1
1,0,0,0,0,0,0
1,1,0,0,0,0,0
1,0,1,0,0,0,1
1,1,1,0,0,0,0
1,0,0,1,0,0,1
1,1,0,1,0,0,0
1,0,1,1,0,0,1
1,1,1,1,0,0,1
1,0,0,0,1,0,0
1,1,0,0,1,0,1
1,0,1,0,1,0,0
1,1,1,0,1,0,0
1,0,0,1,1,0,1
1,1,0,1,1,0,0
1,0,1,1,1,0,0
1,1,1,1,1,0,0
1,0,0,0,0,1,1
1,1,0,0,0,1,1
1,0,1,0,0,1,0
1,1,1,0,0,1,0
1,0,0,1,0,1,0
1,1,0,1,0,1,1
1,0,1,1,0,1,1
1,1,1,1,0,1,1
1,0,0,0,1,1,1
1,1,0,0,1,1,0
1,0,1,0,1,1,1
1,1,1,0,1,1,0
1,0,0,1,1,1,1
1,1,0,1,1,1,0
1,0,1,1,1,1,1
1,1,1,1,1,1,1
1,0,0,0,0,0,0
1,1,0,0,0,0,0
1,0,1,0,0,0,0
1,1,1,0,0,0,0
1,0,0,1,0,0,0
1,1,0,1,0,0,1
1,0,1,1,0,0,1
1,1,1,1,0,0,1
1,0,0,0,1,0,0
1,1,0,0,1,0,0
1,0,1,0,1,0,0
1,1,1,0,1,0,0
1,0,0,1,1,0,0
1,1,0,1,1,0,1
1,0,1,1,1,0,0
1,1,1,1,1,0,0
1,0,0,0,0,1,1
1,1,0,0,0,1,1
1,0,1,0,0,1,0
1,1,1,0,0,1,0
1,0,0,1,0,1,0
1,1,0,1,0,1,0
1,0,1,1,0,1,1
1,1,1,1,0,1,0
1,0,0,0,1,1,1
1,1,0,0,1,1,1
1,0,1,0,1,1,1
1,1,1,0,1,1,1
1,0,0,1,1,1,1
1,1,0,1,1,1,1
1,0,1,1,1,1,0
1,1,1,1,1,1,1
1,0,0,0,0,0,0
1,1,0,0,0,0,0
1,0,1,0,0,0,0
1,1,1,0,0,0,0
1,0,0,1,0,0,1
1,1,0,1,0,0,0
1,0,1,1,0,0,0
1,1,1,1,0,0,1
1,0,0,0,1,0,0
1,1,0,0,1,0,0
1,0,1,0,1,0,1
1,1,1,0,1,0,1
1,0,0,1,1,0,1
1,1,0,1,1,0,1
1,0,1,1,1,0,1
1,1,1,1,1,0,0
1,0,0,0,0,1,0
1,1,0,0,0,1,0
1,0,1,0,0,1,0
1,1,1,0,0,1,1
1,0,0,1,0,1,0
1,1,0,1,0,1,1
1,0,1,1,0,1,1
1,1,1,1,0,1,1
1,0,0,0,1,1,0
1,1,0,0,1,1,0
1,0,1,0,1,1,0
1,1,1,0,1,1,0
1,0,0,1,1,1,0
1,1,0,1,1,1,1
1,0,1,1,1,1,0
1,1,1,1,1,1,1
1,0,0,0,0,0,0
1,1,0,0,0,0,0
1,0,1,0,0,0,0
1,1,1,0,0,0,1
1,0,0,1,0,0,1
1,1,0,1,0,0,0
1,0,1,1,0,0,0
1,1,1,1,0,0,0
1,0,0,0,1,0,1
1,1,0,0,1,0,0
1,0,1,0,1,0,0
1,1,1,0,1,0,0
1,0,0,1,1,0,0
1,1,0,1,1,0,1
1,0,1,1,1,0,0
1,1,1,1,1,0,0
1,0,0,0,0,1,0
1,1,0,0,0,1,0
1,0,1,0,0,1,0
1,1,1,0,0,1,0
1,0,0,1,0,1,0
1,1,0,1,0,1,0
1,0,1,1,0,1,1
1,1,1,1,0,1,0
1,0,0,0,1,1,1
1,1,0,0,1,1,0
1,0,1,0,1,1,0
1,1,1,0,1,1,0
1,0,0,1,1,1,0
1,1,0,1,1,1,0
1,0,1,1,1,1,0
1,1,1,1,1,1,1
1,0,0,0,0,0,0
1,1,0,0,0,0,0
1,0,1,0,0,0,0
1,1,1,0,0,0,0
1,0,0,1,0,0,0
1,1,0,1,0,0,0
1,0,1,1,0,0,1
1,1,1,1,0,0,0
1,0,0,0,1,0,0
1,1,0,0,1,0,0
1,0,1,0,1,0,0
1,1,1,0,1,0,0
1,0,0,1,1,0,0
1,1,0,1,1,0,0
1,0,1,1,1,0,1
1,1,1,1,1,0,0
1,0,0,0,0,1,0
1,1,0,0,0,1,0
1,0,1,0,0,1,0
1,1,1,0,0,1,0
1,0,0,1,0,1,0
1,1,0,1,0,1,0
1,0,1,1,0,1,1
1,1,1,1,0,1,1
1,0,0,0,1,1,0
1,1,0,0,1,1,0
1,0,1,0,1,1,1
1,1,1,0,1,1,0
1,0,0,1,1,1,1
1,1,0,1,1,1,1
1,0,1,1,1,1,0
1,1,1,1,1,1,1
1,0,0,0,0,0,0
1,1,0,0,0,0,0
1,0,1,0,0,0,0
1,1,1,0,0,0,0
1,0,0,1,0,0,0
1,1,0,1,0,0,0
1,0,1,1,0,0,0
1,1,1,1,0,0,1
1,0,0,0,1,0,1
1,1,0,0,1,0,0
1,0,1,0,1,0,0
1,1,1,0,1,0,1
1,0,0,1,1,0,1
1,1,0,1,1,0,0
1,0,1,1,1,0,0
1,1,1,1,1,0,0
1,0,0,0,0,1,1
1,1,0,0,0,1,0
1,0,1,0,0,1,0
1,1,1,0,0,1,1
1,0,0,1,0,1,0
1,1,0,1,0,1,1
1,0,1,1,0,1,0
1,1,1,1,0,1,0
1,0,0,0,1,1,1
1,1,0,0,1,1,1
1,0,1,0,1,1,1
1,1,1,0,1,1,0
1,0,0,1,1,1,0
1,1,0,1,1,1,0
1,0,1,1,1,1,1
1,1,1,1,1,1,0
1,0,0,0,0,0,1
1,1,0,0,0,0,0
1,0,1,0,0,0,1
1,1,1,0,0,0,0
1,0,0,1,0,0,1
1,1,0,1,0,0,1
1,0,1,1,0,0,0
1,1,1,1,0,0,0
1,0,0,0,1,0,0
1,1,0,0,1,0,0
1,0,1,0,1,0,0
1,1,1,0,1,0,0
1,0,0,1,1,0,0
1,1,0,1,1,0,0
1,0,1,1,1,0,1
1,1,1,1,1,0,0
1,0,0,0,0,1,0
1,1,0,0,0,1,1
1,0,1,0,0,1,1
1,1,1,0,0,1,1
1,0,0,1,0,1,1
1,1,0,1,0,1,0
1,0,1,1,0,1,0
1,1,1,1,0,1,1
1,0,0,0,1,1,1
1,1,0,0,1,1,0
1,0,1,0,1,1,0
1,1,1,0,1,1,1
1,0,0,1,1,1,1
1,1,0,1,1,1,1
1,0,1,1,1,1,0
1,1,1,1,1,1,0
1,0,0,0,0,0,0
1,1,0,0,0,0,0
1,0,1,0,0,0,0
1,1,1,0,0,0,0
1,0,0,1,0,0,0
1,1,0,1,0,0,0
1,0,1,1,0,0,0
1,1,1,1,0,0,1
1,0,0,0,1,0,0
1,1,0,0,1,0,1
1,0,1,0,1,0,1
1,1,1,0,1,0,0
1,0,0,1,1,0,0
1,1,0,1,1,0,0
1,0,1,1,1,0,1
1,1,1,1,1,0,0
1,0,0,0,0,1,0
1,1,0,0,0,1,1
1,0,1,0,0,1,1
1,1,1,0,0,1,0
1,0,0,1,0,1,1
1,1,0,1,0,1,1
1,0,1,1,0,1,1
1,1,1,1,0,1,0
1,0,0,0,1,1,0
1,1,0,0,1,1,1
1,0,1,0,1,1,0
1,1,1,0,1,1,1
1,0,0,1,1,1,1
1,1,0,1,1,1,1
1,0,1,1,1,1,1
1,1,1,1,1,1,1
1,0,0,0,0,0,0
1,1,0,0,0,0,0
1,0,1,0,0,0,0
1,1,1,0,0,0,0
1,0,0,1,0,0,0
1,1,0,1,0,0,0
1,0,1,1,0,0,0
1,1,1,1,0,0,0
1,0,0,0,1,0,0
1,1,0,0,1,0,0
1,0,1,0,1,0,0
1,1,1,0,1,0,0
1,0,0,1,1,0,0
1,1,0,1,1,0,0
1,0,1,1,1,0,1
1,1,1,1,1,0,1
1,0,0,0,0,1,1
1,1,0,0,0,1,0
1,0,1,0,0,1,0
1,1,1,0,0,1,1
1,0,0,1,0,1,0
1,1,0,1,0,1,0
1,0,1,1,0,1,0
1,1,1,1,0,1,0
1,0,0,0,1,1,0
1,1,0,0,1,1,1
1,0,1,0,1,1,0
1,1,1,0,1,1,0
1,0,0,1,1,1,1
1,1,0,1,1,1,1
1,0,1,1,1,1,1
1,1,1,1,1,1,1
1,0,0,0,0,0,0
1,1,0,0,0,0,0
1,0,1,0,0,0,0
1,1,1,0,0,0,1
1,0,0,1,0,0,1
1,1,0,1,0,0,1
1,0,1,1,0,0,0
1,1,1,1,0,0,0
1,0,0,0,1,0,0
1,1,0,0,1,0,0
1,0,1,0,1,0,0
1,1,1,0,1,0,1
1,0,0,1,1,0,0
1,1,0,1,1,0,0
1,0,1,1,1,0,0
1,1,1,1,1,0,1
1,0,0,0,0,1,0
1,1,0,0,0,1,0
1,0,1,0,0,1,0
1,1,1,0,0,1,1
1,0,0,1,0,1,0
1,1,0,1,0,1,0
1,0,1,1,0,1,0
1,1,1,1,0,1,0
1,0,0,0,1,1,0
1,1,0,0,1,1,1
1,0,1,0,1,1,0
1,1,1,0,1,1,1
1,0,0,1,1,1,1
1,1,0,1,1,1,0
1,0,1,1,1,1,1
1,1,1,1,1,1,0
1,0,0,0,0,0,0
1,1,0,0,0,0,1
1,0,1,0,0,0,0
1,1,1,0,0,0,1
1,0,0,1,0,0,0
1,1,0,1,0,0,1
1,0,1,1,0,0,0
1,1,1,1,0,0,1
1,0,0,0,1,0,0
1,1,0,0,1,0,0
1,0,1,0,1,0,0
1,1,1,0,1,0,0
1,0,0,1,1,0,0
1,1,0,1,1,0,0
1,0,1,1,1,0,0
1,1,1,1,1,0,1
1,0,0,0,0,1,0
1,1,0,0,0,1,0
1,0,1,0,0,1,1
1,1,1,0,0,1,0
1,0,0,1,0,1,0
1,1,0,1,0,1,0
1,0,1,1,0,1,0
1,1,1,1,0,1,0
1,0,0,0,1,1,0
1,1,0,0,1,1,1
1,0,1,0,1,1,0
1,1,1,0,1,1,1
1,0,0,1,1,1,1
1,1,0,1,1,1,0
1,0,1,1,1,1,1
1,1,1,1,1,1,0
1,0,0,0,0,0,0
1,1,0,0,0,0,0
1,0,1,0,0,0,0
1,1,1,0,0,0,1
1,0,0,1,0,0,0
1,1,0,1,0,0,1
1,0,1,1,0,0,0
1,1,1,1,0,0,0
1,0,0,0,1,0,1
1,1,0,0,1,0,1
1,0,1,0,1,0,0
1,1,1,0,1,0,0
1,0,0,1,1,0,1
1,1,0,1,1,0,1
1,0,1,1,1,0,0
1,1,1,1,1,0,1
1,0,0,0,0,1,0
1,1,0,0,0,1,1
1,0,1,0,0,1,0
1,1,1,0,0,1,1
1,0,0,1,0,1,0
1,1,0,1,0,1,0
1,0,1,1,0,1,1
1,1,1,1,0,1,1
1,0,0,0,1,1,1
1,1,0,0,1,1,0
1,0,1,0,1,1,1
1,1,1,0,1,1,1
1,0,0,1,1,1,1
1,1,0,1,1,1,0
1,0,1,1,1,1,0
1,1,1,1,1,1,1
1,0,0,0,0,0,0
1,1,0,0,0,0,0
1,0,1,0,0,0,1
1,1,1,0,0,0,1
1,0,0,1,0,0,0
1,1,0,1,0,0,0
1,0,1,1,0,0,0
1,1,1,1,0,0,0
1,0,0,0,1,0,0
1,1,0,0,1,0,0
1,0,1,0,1,0,0
1,1,1,0,1,0,0
1,0,0,1,1,0,1
1,1,0,1,1,0,0
1,0,1,1,1,0,1
1,1,1,1,1,0,0
1,0,0,0,0,1,1
1,1,0,0,0,1,1
1,0,1,0,0,1,0
1,1,1,0,0,1,0
1,0,0,1,0,1,0
1,1,0,1,0,1,1
1,0,1,1,0,1,1
1,1,1,1,0,1,1
1,0,0,0,1,1,0
1,1,0,0,1,1,1
1,0,1,0,1,1,1
1,1,1,0,1,1,0
1,0,0,1,1,1,1
1,1,0,1,1,1,1
1,0,1,1,1,1,0
1,1,1,1,1,1,1
1,0,0,0,0,0,0
1,1,0,0,0,0,0
1,0,1,0,0,0,0
1,1,1,0,0,0,0
1,0,0,1,0,0,1
1,1,0,1,0,0,0
1,0,1,1,0,0,1
1,1,1,1,0,0,0
1,0,0,0,1,0,0
1,1,0,0,1,0,0
1,0,1,0,1,0,0
1,1,1,0,1,0,1
1,0,0,1,1,0,0
1,1,0,1,1,0,0
1,0,1,1,1,0,1
1,1,1,1,1,0,1
1,0,0,0,0,1,1
1,1,0,0,0,1,1
1,0,1,0,0,1,0
1,1,1,0,0,1,0
1,0,0,1,0,1,0
1,1,0,1,0,1,0
1,0,1,1,0,1,1
1,1,1,1,0,1,0
1,0,0,0,1,1,1
1,1,0,0,1,1,1
1,0,1,0,1,1,0
1,1,1,0,1,1,0
1,0,0,1,1,1,1
1,1,0,1,1,1,1
1,0,1,1,1,1,1
1,1,1,1,1,1,0
1,0,0,0,0,0,0
1,1,0,0,0,0,0
1,0,1,0,0,0,0
1,1,1,0,0,0,1
1,0,0,1,0,0,1
1,1,0,1,0,0,0
1,0,1,1,0,0,1
1,1,1,1,0,0,1
1,0,0,0,1,0,1
1,1,0,0,1,0,0
1,0,1,0,1,0,0
1,1,1,0,1,0,0
1,0,0,1,1,0,0
1,1,0,1,1,0,0
1,0,1,1,1,0,0
1,1,1,1,1,0,0
1,0,0,0,0,1,1
1,1,0,0,0,1,0
1,0,1,0,0,1,0
1,1,1,0,0,1,0
1,0,0,1,0,1,0
1,1,0,1,0,1,0
1,0,1,1,0,1,0
1,1,1,1,0,1,0
1,0,0,0,1,1,0
1,1,0,0,1,1,1
1,0,1,0,1,1,1
1,1,1,0,1,1,1
1,0,0,1,1,1,1
1,1,0,1,1,1,1
1,0,1,1,1,1,0
1,1,1,1,1,1,1
1,0,0,0,0,0,0
1,1,0,0,0,0,0
1,0,1,0,0,0,0
1,1,1,0,0,0,0
1,0,0,1,0,0,0
1,1,0,1,0,0,0
1,0,1,1,0,0,0
1,1,1,1,0,0,0
1,0,0,0,1,0,0
1,1,0,0,1,0,0
1,0,1,0,1,0,1
1,1,1,0,1,0,1
1,0,0,1,1,0,1
1,1,0,1,1,0,1
1,0,1,1,1,0,0
1,1,1,1,1,0,1
1,0,0,0,0,1,0
1,1,0,0,0,1,0
1,0,1,0,0,1,1
1,1,1,0,0,1,0
1,0,0,1,0,1,0
1,1,0,1,0,1,1
1,0,1,1,0,1,1
1,1,1,1,0,1,1
1,0,0,0,1,1,0
1,1,0,0,1,1,1
1,0,1,0,1,1,0
1,1,1,0,1,1,1
1,0,0,1,1,1,1
1,1,0,1,1,1,1
1,0,1,1,1,1,0
1,1,1,1,1,1,1
1,0,0,0,0,0,0
1,1,0,0,0,0,0
1,0,1,0,0,0,0
1,1,1,0,0,0,0
1,0,0,1,0,0,0
1,1,0,1,0,0,1
1,0,1,1,0,0,1
1,1,1,1,0,0,1
1,0,0,0,1,0,1
1,1,0,0,1,0,1
1,0,1,0,1,0,1
1,1,1,0,1,0,0
1,0,0,1,1,0,0
1,1,0,1,1,0,0
1,0,1,1,1,0,1
1,1,1,1,1,0,1
1,0,0,0,0,1,1
1,1,0,0,0,1,0
1,0,1,0,0,1,0
1,1,1,0,0,1,1
1,0,0,1,0,1,0
1,1,0,1,0,1,1
1,0,1,1,0,1,1
1,1,1,1,0,1,1
1,0,0,0,1,1,1
1,1,0,0,1,1,1
1,0,1,0,1,1,0
1,1,1,0,1,1,0
1,0,0,1,1,1,1
1,1,0,1,1,1,0
1,0,1,1,1,1,1
1,1,1,1,1,1,1
1,0,0,0,0,0,0
1,1,0,0,0,0,0
1,0,1,0,0,0,0
1,1,1,0,0,0,0
1,0,0,1,0,0,0
1,1,0,1,0,0,1
1,0,1,1,0,0,1
1,1,1,1,0,0,0
1,0,0,0,1,0,0
1,1,0,0,1,0,0
1,0,1,0,1,0,0
1,1,1,0,1,0,0
1,0,0,1,1,0,1
1,1,0,1,1,0,1
1,0,1,1,1,0,1
1,1,1,1,1,0,0
1,0,0,0,0,1,1
1,1,0,0,0,1,1
1,0,1,0,0,1,0
1,1,1,0,0,1,1
1,0,0,1,0,1,0
1,1,0,1,0,1,0
1,0,1,1,0,1,0
1,1,1,1,0,1,0
1,0,0,0,1,1,0
1,1,0,0,1,1,1
1,0,1,0,1,1,0
1,1,1,0,1,1,0
1,0,0,1,1,1,0
1,1,0,1,1,1,0
1,0,1,1,1,1,0
1,1,1,1,1,1,0
1,0,0,0,0,0,0
1,1,0,0,0,0,1
1,0,1,0,0,0,0
1,1,1,0,0,0,1
1,0,0,1,0,0,0
1,1,0,1,0,0,0
1,0,1,1,0,0,0
1,1,1,1,0,0,0
1,0,0,0,1,0,0
1,1,0,0,1,0,0
1,0,1,0,1,0,1
1,1,1,0,1,0,0
1,0,0,1,1,0,0
1,1,0,1,1,0,1
1,0,1,1,1,0,0
1,1,1,1,1,0,0
1,0,0,0,0,1,0
1,1,0,0,0,1,0
1,0,1,0,0,1,1
1,1,1,0,0,1,1
1,0,0,1,0,1,0
1,1,0,1,0,1,0
1,0,1,1,0,1,1
1,1,1,1,0,1,0
1,0,0,0,1,1,0
1,1,0,0,1,1,0
1,0,1,0,1,1,1
1,1,1,0,1,1,0
1,0,0,1,1,1,1
1,1,0,1,1,1,1
1,0,1,1,1,1,0
1,1,1,1,1,1,0
1,0,0,0,0,0,0
1,1,0,0,0,0,0
1,0,1,0,0,0,0
1,1,1,0,0,0,0
1,0,0,1,0,0,1
1,1,0,1,0,0,0
1,0,1,1,0,0,0
1,1,1,1,0,0,1
1,0,0,0,1,0,0
1,1,0,0,1,0,0
1,0,1,0,1,0,1
1,1,1,0,1,0,1
1,0,0,1,1,0,0
1,1,0,1,1,0,0
1,0,1,1,1,0,0
1,1,1,1,1,0,1
1,0,0,0,0,1,0
1,1,0,0,0,1,0
1,0,1,0,0,1,0
1,1,1,0,0,1,1
1,0,0,1,0,1,1
1,1,0,1,0,1,0
1,0,1,1,0,1,1
1,1,1,1,0,1,1
1,0,0,0,1,1,0
1,1,0,0,1,1,1
1,0,1,0,1,1,1
1,1,1,0,1,1,1
1,0,0,1,1,1,1
1,1,0,1,1,1,1
1,0,1,1,1,1,0
1,1,1,1,1,1,0
1,0,0,0,0,0,0
1,1,0,0,0,0,0
1,0,1,0,0,0,1
1,1,1,0,0,0,0
1,0,0,1,0,0,1
1,1,0,1,0,0,0
1,0,1,1,0,0,0
1,1,1,1,0,0,1
1,0,0,0,1,0,0
1,1,0,0,1,0,0
1,0,1,0,1,0,0
1,1,1,0,1,0,1
1,0,0,1,1,0,0
1,1,0,1,1,0,0
1,0,1,1,1,0,0
1,1,1,1,1,0,0
1,0,0,0,0,1,0
1,1,0,0,0,1,1
1,0,1,0,0,1,0
1,1,1,0,0,1,1
1,0,0,1,0,1,0
1,1,0,1,0,1,0
1,0,1,1,0,1,1
1,1,1,1,0,1,0
1,0,0,0,1,1,0
1,1,0,0,1,1,1
1,0,1,0,1,1,0
1,1,1,0,1,1,1
1,0,0,1,1,1,0
1,1,0,1,1,1,0
1,0,1,1,1,1,1
1,1,1,1,1,1,1
1,0,0,0,0,0,0
1,1,0,0,0,0,0
1,0,1,0,0,0,0
1,1,1,0,0,0,0
1,0,0,1,0,0,1
1,1,0,1,0,0,1
1,0,1,1,0,0,0
1,1,1,1,0,0,1
1,0,0,0,1,0,0
1,1,0,0,1,0,0
1,0,1,0,1,0,1
1,1,1,0,1,0,1
1,0,0,1,1,0,0
1,1,0,1,1,0,1
1,0,1,1,1,0,0
1,1,1,1,1,0,0
1,0,0,0,0,1,0
1,1,0,0,0,1,0
1,0,1,0,0,1,0
1,1,1,0,0,1,1
1,0,0,1,0,1,0
1,1,0,1,0,1,1
1,0,1,1,0,1,1
1,1,1,1,0,1,1
1,0,0,0,1,1,0
1,1,0,0,1,1,0
1,0,1,0,1,1,1
1,1,1,0,1,1,1
1,0,0,1,1,1,1
1,1,0,1,1,1,1
1,0,1,1,1,1,0
1,1,1,1,1,1,1
1,0,0,0,0,0,0
1,1,0,0,0,0,1
1,0,1,0,0,0,1
1,1,1,0,0,0,0
1,0,0,1,0,0,1
1,1,0,1,0,0,0
1,0,1,1,0,0,0
1,1,1,1,0,0,1
1,0,0,0,1,0,1
1,1,0,0,1,0,1
1,0,1,0,1,0,1
1,1,1,0,1,0,0
1,0,0,1,1,0,0
1,1,0,1,1,0,1
1,0,1,1,1,0,0
1,1,1,1,1,0,0
1,0,0,0,0,1,0
1,1,0,0,0,1,1
1,0,1,0,0,1,0
1,1,1,0,0,1,1
1,0,0,1,0,1,1
1,1,0,1,0,1,1
1,0,1,1,0,1,0
1,1,1,1,0,1,1
1,0,0,0,1,1,0
1,1,0,0,1,1,0
1,0,1,0,1,1,0
1,1,1,0,1,1,1
1,0,0,1,1,1,1
1,1,0,1,1,1,1
1,0,1,1,1,1,1
1,1,1,1,1,1,0
1,0,0,0,0,0,0
1,1,0,0,0,0,0
1,0,1,0,0,0,0
1,1,1,0,0,0,0
1,0,0,1,0,0,0
1,1,0,1,0,0,0
1,0,1,1,0,0,0
1,1,1,1,0,0,0
1,0,0,0,1,0,1
1,1,0,0,1,0,1
1,0,1,0,1,0,0
1,1,1,0,1,0,1
1,0,0,1,1,0,0
1,1,0,1,1,0,0
1,0,1,1,1,0,0
1,1,1,1,1,0,1
1,0,0,0,0,1,1
1,1,0,0,0,1,1
1,0,1,0,0,1,1
1,1,1,0,0,1,0
1,0,0,1,0,1,1
1,1,0,1,0,1,0
1,0,1,1,0,1,0
1,1,1,1,0,1,1
1,0,0,0,1,1,1
1,1,0,0,1,1,1
1,0,1,0,1,1,1
1,1,1,0,1,1,1
1,0,0,1,1,1,0
1,1,0,1,1,1,0
1,0,1,1,1,1,1
1,1,1,1,1,1,0
1,0,0,0,0,0,1
1,1,0,0,0,0,0
1,0,1,0,0,0,0
1,1,1,0,0,0,1
1,0,0,1,0,0,1
1,1,0,1,0,0,1
1,0,1,1,0,0,0
1,1,1,1,0,0,1
1,0,0,0,1,0,1
1,1,0,0,1,0,0
1,0,1,0,1,0,1
1,1,1,0,1,0,0
1,0,0,1,1,0,1
1,1,0,1,1,0,0
1,0,1,1,1,0,1
1,1,1,1,1,0,0
1,0,0,0,0,1,1
1,1,0,0,0,1,0
1,0,1,0,0,1,0
1,1,1,0,0,1,1
1,0,0,1,0,1,0
1,1,0,1,0,1,1
1,0,1,1,0,1,1
1,1,1,1,0,1,1
1,0,0,0,1,1,0
1,1,0,0,1,1,1
1,0,1,0,1,1,1
1,1,1,0,1,1,0
1,0,0,1,1,1,1
1,1,0,1,1,1,0
1,0,1,1,1,1,1
1,1,1,1,1,1,1
1,0,0,0,0,0,0
1,1,0,0,0,0,0
1,0,1,0,0,0,0
1,1,1,0,0,0,0
1,0,0,1,0,0,1
1,1,0,1,0,0,0
1,0,1,1,0,0,1
1,1,1,1,0,0,0
1,0,0,0,1,0,1
1,1,0,0,1,0,0
1,0,1,0,1,0,0
1,1,1,0,1,0,0
1,0,0,1,1,0,1
1,1,0,1,1,0,1
1,0,1,1,1,0,1
1,1,1,1,1,0,1
1,0,0,0,0,1,1
1,1,0,0,0,1,0
1,0,1,0,0,1,0
1,1,1,0,0,1,0
1,0,0,1,0,1,0
1,1,0,1,0,1,0
